parameter,parameter_value,factor_from_fitted_value,profiled_rate_scale_nm_s,objective,fitting_error,fitting_error_name,loss
inhibition_ratio,0.01025504333694551,19.952623149688787,2.5420151860815317,7.852162207116638e-07,0.0008861242693390492,training_rmse_nm_s,mse
inhibition_ratio,0.012910334655931171,25.11886431509582,2.5460479347467535,7.857697338066676e-07,0.0008864365368184389,training_rmse_nm_s,mse
inhibition_ratio,0.016253148373118646,31.622776601683793,2.551124796993113,7.866798128023871e-07,0.0008869497239429004,training_rmse_nm_s,mse
inhibition_ratio,0.020461501508580112,39.81071705534978,2.557516081408871,7.881598297666921e-07,0.0008877836615790426,training_rmse_nm_s,mse
inhibition_ratio,0.025759504212616174,50.11872336272725,2.565562064097616,7.905456335857672e-07,0.0008891263316232217,training_rmse_nm_s,mse
inhibition_ratio,0.03242929444848144,63.09573444801943,2.5756910925535657,7.943631637171569e-07,0.0008912705334056304,training_rmse_nm_s,mse
inhibition_ratio,0.040826062867748765,79.43282347242821,2.588442370282487,8.004313590409241e-07,0.0008946682955380302,training_rmse_nm_s,mse
inhibition_ratio,0.05139696800771513,100.0,2.604494630620397,8.100169876854595e-07,0.0009000094375535511,training_rmse_nm_s,mse
inhibition_ratio,0.06470494911408449,125.89254117941688,2.6247022194764726,8.250641931004878e-07,0.0009083304426806843,training_rmse_nm_s,mse
inhibition_ratio,0.08145870470856938,158.48931924611142,2.6501404980215173,8.485284307903083e-07,0.0009211560295575926,training_rmse_nm_s,mse
inhibition_ratio,0.1025504333694553,199.5262314968883,2.6821629683407457,8.84850425261858e-07,0.0009406648846756522,training_rmse_nm_s,mse
inhibition_ratio,0.12910334655931172,251.18864315095823,2.7224731439911847,9.406071825537951e-07,0.0009698490514269708,training_rmse_nm_s,mse
inhibition_ratio,0.16253148373118645,316.22776601683796,2.7732149666480215,1.0253671911534043e-06,0.001012604163112815,training_rmse_nm_s,mse
inhibition_ratio,0.20461501508580113,398.1071705534977,2.837086552332083,1.152744902470956e-06,0.0010736595840726035,training_rmse_nm_s,mse
inhibition_ratio,0.25759504212616174,501.18723362727246,2.9174832909567585,1.3415810072093317e-06,0.001158266380073829,training_rmse_nm_s,mse
inhibition_ratio,0.3242929444848144,630.9573444801943,3.0186778915273123,1.6170563111855707e-06,0.0012716352901620694,training_rmse_nm_s,mse
inhibition_ratio,0.40826062867748764,794.3282347242822,3.146046951972372,2.011376758351887e-06,0.0014182301499939588,training_rmse_nm_s,mse
inhibition_ratio,0.5139696800771513,1000.0,3.306356149788216,2.563476206778096e-06,0.0016010859460934932,training_rmse_nm_s,mse
